time_sec,min_clearance_m,linear_vel,angular_vel,pos_x,pos_y,distance_traveled_m,is_rotating,collision
0.7,inf,0.000,0.000,-2.000,-0.500,0.000,0,0
1.2,0.513,0.000,0.000,-2.000,-0.500,0.000,0,0
1.7,0.516,0.000,0.000,-2.000,-0.500,0.000,0,0
2.2,0.516,0.000,0.000,-2.000,-0.500,0.000,0,0
2.7,0.506,0.000,0.000,-2.000,-0.500,0.000,0,0
3.2,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
3.7,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
4.3,0.514,0.000,0.000,-2.000,-0.500,0.000,0,0
4.8,0.514,0.000,0.000,-2.000,-0.500,0.000,0,0
5.2,0.514,0.000,0.000,-2.000,-0.500,0.000,0,0
5.7,0.517,0.000,0.000,-2.000,-0.500,0.000,0,0
6.3,0.519,0.000,0.000,-2.000,-0.500,0.000,0,0
6.7,0.516,0.000,0.000,-2.000,-0.500,0.000,0,0
7.2,0.512,0.000,0.000,-2.000,-0.500,0.000,0,0
7.7,0.512,0.000,0.000,-2.000,-0.500,0.000,0,0
8.2,0.511,0.000,0.000,-2.000,-0.500,0.000,0,0
8.7,0.517,0.000,0.000,-2.000,-0.500,0.000,0,0
9.2,0.517,0.000,0.000,-2.000,-0.500,0.000,0,0
9.7,0.514,0.000,0.000,-2.000,-0.500,0.000,0,0
10.2,0.517,0.000,0.000,-2.000,-0.500,0.000,0,0
10.7,0.517,0.000,0.000,-2.000,-0.500,0.000,0,0
11.2,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
11.7,0.510,0.000,0.000,-2.000,-0.500,0.000,0,0
12.2,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
12.7,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
13.2,0.510,0.000,0.000,-2.000,-0.500,0.000,0,0
13.7,0.516,0.000,0.000,-2.000,-0.500,0.000,0,0
14.2,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
14.7,0.505,0.000,0.000,-2.000,-0.500,0.000,0,0
15.2,0.505,0.000,0.000,-2.000,-0.500,0.000,0,0
15.7,0.511,0.000,0.000,-2.000,-0.500,0.000,0,0
16.2,0.510,0.000,0.000,-2.000,-0.500,0.000,0,0
16.7,0.516,0.000,0.000,-2.000,-0.500,0.000,0,0
17.2,0.516,0.000,0.000,-2.000,-0.500,0.000,0,0
17.7,0.510,0.000,0.000,-2.000,-0.500,0.000,0,0
18.2,0.513,0.000,0.000,-2.000,-0.500,0.000,0,0
18.7,0.513,0.000,0.000,-2.000,-0.500,0.000,0,0
19.2,0.508,0.000,0.000,-2.000,-0.500,0.000,0,0
19.7,0.513,0.000,0.000,-2.000,-0.500,0.000,0,0
20.2,0.522,0.000,0.000,-2.000,-0.500,0.000,0,0
20.7,0.522,0.000,0.000,-2.000,-0.500,0.000,0,0
21.3,0.509,0.000,0.000,-2.000,-0.500,0.000,0,0
21.7,0.513,0.220,-0.779,-1.988,-0.500,0.012,0,0
22.3,0.535,0.220,-0.716,-1.955,-0.501,0.045,0,0
22.7,0.582,0.220,-0.379,-1.928,-0.504,0.072,0,0
23.2,0.582,0.196,-0.295,-1.900,-0.509,0.101,0,0
23.7,0.617,0.220,-0.211,-1.880,-0.514,0.121,0,0
24.2,0.625,0.196,-0.295,-1.831,-0.528,0.172,0,0
24.7,0.625,0.196,-0.042,-1.812,-0.534,0.192,0,0
25.2,0.672,0.171,0.126,-1.788,-0.542,0.217,0,0
25.8,0.701,0.147,-0.042,-1.761,-0.552,0.246,0,0
26.2,0.700,0.122,-0.042,-1.743,-0.558,0.265,0,0
26.8,0.700,0.098,0.126,-1.729,-0.564,0.281,0,0
27.2,0.686,0.098,0.295,-1.713,-0.569,0.297,0,0
27.8,0.670,0.073,0.211,-1.701,-0.573,0.310,0,0
28.2,0.670,0.049,0.126,-1.692,-0.575,0.319,0,0
28.7,0.658,0.049,0.126,-1.685,-0.577,0.326,0,0
29.3,0.647,0.049,0.126,-1.680,-0.578,0.331,0,0
29.7,0.647,0.024,0.126,-1.672,-0.580,0.339,0,0
30.2,0.638,0.024,0.042,-1.669,-0.580,0.343,0,0
30.7,0.640,0.024,0.042,-1.666,-0.581,0.346,0,0
31.2,0.640,0.024,0.042,-1.663,-0.581,0.348,0,0
31.7,0.630,0.220,0.211,-1.659,-0.582,0.353,0,0
32.2,0.602,0.220,0.211,-1.632,-0.586,0.380,0,0
32.8,0.602,0.220,0.211,-1.604,-0.590,0.409,0,0
33.2,0.577,0.220,0.211,-1.567,-0.593,0.446,0,0
33.7,0.528,0.196,0.126,-1.529,-0.595,0.483,0,0
34.2,0.512,0.220,0.126,-1.502,-0.596,0.511,0,0
34.7,0.512,0.196,0.042,-1.479,-0.597,0.533,0,0
35.3,0.476,0.220,0.042,-1.445,-0.597,0.568,0,0
35.7,0.447,0.196,0.000,-1.415,-0.598,0.598,0,0
36.2,0.447,0.220,0.000,-1.394,-0.598,0.619,0,0
36.7,0.431,0.220,0.000,-1.357,-0.598,0.655,0,0
37.2,0.408,0.196,0.000,-1.328,-0.598,0.684,0,0
37.7,0.383,0.220,0.000,-1.287,-0.598,0.726,0,0
38.2,0.382,0.196,0.000,-1.257,-0.598,0.756,0,0
38.7,0.382,0.196,0.000,-1.215,-0.598,0.797,0,0
39.2,0.362,0.220,0.000,-1.188,-0.598,0.825,0,0
39.8,0.342,0.196,0.000,-1.153,-0.598,0.860,0,0
40.2,0.342,0.220,0.000,-1.140,-0.598,0.873,0,0
40.8,0.343,0.220,0.000,-1.098,-0.598,0.914,0,0
41.3,0.341,0.196,0.000,-1.076,-0.598,0.937,0,0
41.7,0.335,0.220,0.000,-1.041,-0.598,0.972,0,0
42.2,0.335,0.196,0.000,-1.019,-0.598,0.993,0,0
42.7,0.337,0.220,0.000,-0.983,-0.598,1.029,0,0
43.4,0.345,0.196,0.000,-0.962,-0.598,1.051,0,0
43.8,0.345,0.220,0.000,-0.940,-0.598,1.072,0,0
44.2,0.356,0.220,0.000,-0.898,-0.597,1.115,0,0
44.7,0.379,0.196,0.000,-0.868,-0.597,1.145,0,0
45.2,0.379,0.220,0.632,-0.840,-0.597,1.172,0,0
45.7,0.396,0.196,0.632,-0.811,-0.595,1.202,0,0
46.2,0.408,0.220,0.463,-0.777,-0.588,1.236,0,0
46.8,0.442,0.171,0.126,-0.750,-0.581,1.264,0,0
47.2,0.442,0.171,0.379,-0.728,-0.574,1.287,0,0
47.8,0.468,0.122,0.379,-0.707,-0.568,1.309,0,0
48.3,0.485,0.122,0.379,-0.687,-0.560,1.330,0,0
48.8,0.509,0.098,0.211,-0.670,-0.552,1.350,0,0
49.2,0.524,0.220,0.611,-0.655,-0.545,1.366,0,0
49.7,0.536,0.196,0.716,-0.622,-0.527,1.404,0,0
50.2,0.536,0.024,0.316,-0.600,-0.512,1.430,0,0
50.7,0.553,0.000,0.463,-0.589,-0.502,1.445,0,0
51.2,0.553,0.000,0.379,-0.588,-0.501,1.446,0,0
51.8,0.553,0.000,0.379,-0.588,-0.502,1.446,0,0
52.2,0.562,0.171,0.779,-0.588,-0.501,1.447,0,0
52.7,0.555,0.220,0.800,-0.576,-0.481,1.470,0,0
