time_sec,min_clearance_m,linear_vel,angular_vel,pos_x,pos_y,distance_traveled_m,is_rotating,collision
0.7,inf,0.000,0.000,0.000,0.000,0.000,0,0
1.2,inf,0.000,0.000,0.000,0.000,0.000,0,0
1.8,inf,0.000,0.000,0.000,0.000,0.000,0,0
2.2,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
2.7,0.516,0.000,0.000,-2.000,-0.500,0.000,0,0
3.2,0.504,0.000,0.000,-2.000,-0.500,0.000,0,0
3.8,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
4.2,0.519,0.000,0.000,-2.000,-0.500,0.000,0,0
4.7,0.519,0.000,0.000,-2.000,-0.500,0.000,0,0
5.2,0.519,0.000,0.000,-2.000,-0.500,0.000,0,0
5.8,0.516,0.000,0.000,-2.000,-0.500,0.000,0,0
6.3,0.516,0.000,0.000,-2.000,-0.500,0.000,0,0
6.8,0.522,0.000,0.000,-2.000,-0.500,0.000,0,0
7.2,0.514,0.000,0.000,-2.000,-0.500,0.000,0,0
7.8,0.517,0.000,0.000,-2.000,-0.500,0.000,0,0
8.2,0.505,0.000,0.000,-2.000,-0.500,0.000,0,0
8.7,0.523,0.000,0.000,-2.000,-0.500,0.000,0,0
9.2,0.523,0.000,0.000,-2.000,-0.500,0.000,0,0
9.7,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
10.2,0.509,0.000,0.000,-2.000,-0.500,0.000,0,0
10.7,0.519,0.000,0.000,-2.000,-0.500,0.000,0,0
11.3,0.512,0.000,0.000,-2.000,-0.500,0.000,0,0
11.7,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
12.2,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
12.8,0.520,0.000,0.000,-2.000,-0.500,0.000,0,0
13.2,0.512,0.000,0.000,-2.000,-0.500,0.000,0,0
13.7,0.510,0.000,0.000,-2.000,-0.500,0.000,0,0
14.2,0.510,0.000,0.000,-2.000,-0.500,0.000,0,0
14.7,0.508,0.000,0.000,-2.000,-0.500,0.000,0,0
15.2,0.508,0.000,0.000,-2.000,-0.500,0.000,0,0
15.8,0.512,0.000,0.000,-2.000,-0.500,0.000,0,0
16.2,0.514,0.000,0.000,-2.000,-0.500,0.000,0,0
16.7,0.514,0.000,0.000,-2.000,-0.500,0.000,0,0
17.2,0.522,0.000,0.000,-2.000,-0.500,0.000,0,0
17.7,0.510,0.000,0.000,-2.000,-0.500,0.000,0,0
18.2,0.517,0.000,0.000,-2.000,-0.500,0.000,0,0
18.7,0.509,0.000,0.000,-2.000,-0.500,0.000,0,0
19.2,0.521,0.000,0.000,-2.000,-0.500,0.000,0,0
19.8,0.521,0.000,0.000,-2.000,-0.500,0.000,0,0
20.2,0.510,0.000,0.000,-2.000,-0.500,0.000,0,0
20.7,0.520,0.000,0.000,-2.000,-0.500,0.000,0,0
21.2,0.520,0.000,0.000,-2.000,-0.500,0.000,0,0
21.8,0.501,0.000,0.000,-2.000,-0.500,0.000,0,0
22.3,0.501,0.000,0.000,-2.000,-0.500,0.000,0,0
