time_sec,min_clearance_m,linear_vel,angular_vel,pos_x,pos_y,distance_traveled_m,is_rotating,collision
0.8,inf,0.000,0.000,0.000,0.000,0.000,0,0
1.3,inf,0.000,0.000,0.000,0.000,0.000,0,0
1.8,inf,0.000,0.000,0.000,0.000,0.000,0,0
2.3,inf,0.000,0.000,0.466,1.167,0.003,0,0
2.8,0.326,0.000,0.000,0.455,1.157,0.018,0,0
3.3,0.311,0.000,0.000,0.442,1.144,0.036,0,0
3.8,0.293,0.000,0.000,0.436,1.138,0.045,0,0
4.3,0.293,0.000,0.000,0.429,1.132,0.054,0,0
4.8,0.280,0.000,0.000,0.421,1.123,0.066,0,0
5.3,0.280,0.000,0.000,0.417,1.119,0.072,0,0
5.8,0.270,0.000,0.000,0.409,1.110,0.084,0,0
6.3,0.258,0.000,0.000,0.401,1.101,0.096,0,0
6.8,0.258,0.000,0.000,0.393,1.092,0.107,0,0
7.3,0.247,0.000,0.000,0.384,1.081,0.122,0,0
7.8,0.238,0.000,0.000,0.375,1.069,0.137,0,0
8.3,0.215,0.000,0.000,0.367,1.059,0.149,0,0
8.8,0.215,0.000,0.000,0.358,1.047,0.164,0,0
9.3,0.215,0.000,0.000,0.350,1.035,0.179,0,0
9.8,0.195,0.000,0.000,0.345,1.028,0.188,0,0
10.3,0.195,0.000,0.000,0.336,1.015,0.203,0,0
10.9,0.194,0.000,0.000,0.328,1.003,0.218,0,0
11.3,0.194,0.000,0.000,0.322,0.993,0.230,0,0
11.8,0.178,0.000,0.000,0.316,0.982,0.242,0,0
12.3,0.178,0.000,0.000,0.310,0.972,0.254,0,0
12.8,0.164,0.000,0.000,0.303,0.959,0.269,0,0
13.3,0.170,0.000,0.000,0.296,0.946,0.284,0,0
13.8,0.172,0.000,0.000,0.292,0.938,0.293,0,0
14.3,0.172,0.000,0.000,0.288,0.930,0.301,0,0
14.9,0.166,0.000,0.000,0.282,0.916,0.316,0,0
15.3,0.168,0.000,0.000,0.274,0.900,0.334,0,0
15.8,0.168,0.000,0.000,0.271,0.892,0.343,0,0
16.3,0.168,0.000,0.000,0.265,0.878,0.358,0,0
16.9,0.172,0.000,0.000,0.261,0.867,0.370,0,0
17.3,0.172,0.000,0.000,0.259,0.861,0.376,0,0
17.8,0.179,0.000,0.000,0.255,0.850,0.388,0,0
18.3,0.173,0.000,0.000,0.251,0.839,0.400,0,0
18.9,0.173,0.000,0.000,0.247,0.827,0.412,0,0
19.3,0.195,0.000,0.000,0.244,0.816,0.424,0,0
19.8,0.187,0.000,0.000,0.240,0.804,0.436,0,0
20.3,0.187,0.000,0.000,0.237,0.793,0.448,0,0
20.8,0.205,0.000,0.000,0.234,0.778,0.463,0,0
21.3,0.221,0.000,0.000,0.231,0.767,0.475,0,0
21.8,0.221,0.000,0.000,0.228,0.755,0.487,0,0
22.3,0.219,0.000,0.000,0.226,0.746,0.495,0,0
22.8,0.229,0.000,0.000,0.224,0.732,0.510,0,0
23.3,0.252,0.000,0.000,0.221,0.717,0.525,0,0
23.8,0.252,0.000,0.000,0.219,0.705,0.537,0,0
24.3,0.267,0.000,0.000,0.217,0.690,0.552,0,0
24.8,0.273,0.000,0.000,0.215,0.673,0.570,0,0
25.3,0.295,0.000,0.000,0.214,0.661,0.582,0,0
25.8,0.306,0.000,0.000,0.213,0.646,0.597,0,0
26.3,0.306,0.180,0.379,0.212,0.622,0.621,0,0
26.8,0.320,0.180,0.310,0.212,0.598,0.645,0,0
27.3,0.375,0.180,0.241,0.212,0.573,0.669,0,0
27.8,0.401,0.180,0.379,0.215,0.543,0.699,0,0
28.3,0.401,0.000,0.000,0.217,0.525,0.718,0,0
28.8,0.427,0.180,0.379,0.218,0.524,0.719,0,0
29.3,0.427,0.180,0.379,0.219,0.517,0.726,0,0
29.8,0.427,0.171,0.448,0.223,0.496,0.748,0,0
30.3,0.397,0.104,-0.448,0.228,0.476,0.769,0,0
30.8,0.368,0.095,-0.379,0.232,0.462,0.783,0,0
31.3,0.368,0.114,0.103,0.235,0.447,0.798,0,0
31.9,0.367,0.114,0.103,0.239,0.432,0.814,0,0
32.3,0.349,0.114,-0.448,0.243,0.414,0.832,0,0
32.8,0.321,0.104,-0.448,0.246,0.399,0.848,0,0
33.3,0.321,0.114,0.103,0.249,0.384,0.862,0,0
33.8,0.315,0.104,0.103,0.251,0.373,0.874,0,0
34.3,0.315,0.085,-0.172,0.252,0.362,0.885,0,0
34.8,0.301,0.085,-0.172,0.255,0.344,0.903,0,0
35.3,0.287,0.076,-0.172,0.257,0.333,0.914,0,0
35.9,0.287,0.180,0.628,0.258,0.324,0.923,0,0
36.3,0.263,0.180,0.931,0.260,0.309,0.938,0,0
36.8,0.263,0.171,0.931,0.264,0.287,0.961,0,0
37.3,0.242,0.161,0.862,0.272,0.265,0.984,0,0
37.8,0.225,0.161,0.793,0.284,0.241,1.011,0,0
38.3,0.212,0.161,0.793,0.297,0.221,1.034,0,0
38.8,0.206,0.152,0.724,0.314,0.201,1.061,0,0
39.3,0.206,0.161,1.000,0.325,0.190,1.077,0,0
39.8,0.207,0.161,1.000,0.338,0.180,1.093,0,0
40.3,0.207,0.047,1.000,0.355,0.169,1.113,1,0
40.8,0.212,0.038,1.000,0.359,0.168,1.118,1,0
41.3,0.215,0.123,1.000,0.373,0.165,1.132,0,0
41.8,0.231,0.142,1.000,0.393,0.163,1.152,0,0
42.3,0.231,0.171,1.000,0.412,0.165,1.172,0,0
42.8,0.219,0.171,0.931,0.440,0.172,1.200,0,0
43.3,0.205,0.180,0.931,0.456,0.178,1.218,0,0
43.9,0.192,0.171,0.862,0.488,0.196,1.254,0,0
44.3,0.218,0.171,0.931,0.511,0.215,1.283,0,0
44.8,0.244,0.161,0.862,0.530,0.236,1.311,0,0
